model,architecture,backbone,file_size_mb,test_precision,test_recall,test_f1,test_miou,test_mAP50,test_mAP50_95,val_precision,val_recall,val_f1,val_miou,val_mAP50,val_mAP50_95,best_miou,total_params,gflops,trainable_params,avg_latency_ms,fps,best_mAP50,best_mAP50_95
Faster R-CNN,Two-stage,ResNet-50 FPN v2,165.47,0.9216519890677194,0.9665605095541401,0.9435722058137727,0.870954055134115,0.9674062132835388,0.7249860763549805,0.9423076923076923,0.9806763285024155,0.9611092323300642,0.8740836175249792,N/A,N/A,0.8803838981744968,43281778,280.82,43056434,26.6,37.6,,
SME-YOLO,One-stage,YOLOv11n (CSPDarknet),5.22,0.9596289896133839,0.9236157825496357,0.9412780465930409,0.8856260431958692,0.9666926518374748,0.6939816849661758,0.97764,0.94052,0.9587208291279143,N/A,0.98389,0.69342,,2591010,3.22,2591010,10.4,96.13,0.98389,0.73504
YOLO26,One-stage,YOLO26n,5.14,0.8776143921421117,0.8679854891698277,0.8727733836615971,0.8809221344483775,0.9273558674221886,0.6622244944488848,0.88825,0.90039,0.8942788012120941,N/A,0.95507,0.68086,,2506140,2.89,2506140,10.99,91.0,0.95564,0.70892
ViT-Det,Two-stage,ViT-Base/16 + FPN,387.69,0.6056753688989784,0.8496815286624204,0.7072233267064282,0.7785368229763797,0.804530680179596,0.4338429272174835,0.7042577675489068,0.84472049689441,0.7681204894885473,0.7787976939011183,N/A,N/A,0.7787976939011183,101611359,148.77,101611359,34.39,29.08,,
RT-DETR,Transformer,RT-DETR-L (ResNet-based),63.17,0.980881524906497,0.9517024111112624,0.966071687620016,0.8586355442257507,0.9745421462971259,0.7034820625084371,0.98844,0.96103,0.9745423045237936,N/A,0.98618,0.60499,,32818406,54.01,32818406,46.82,21.36,0.98719,0.74642
DEIMv2-L,Transformer,DINOv3-S,496.79,0.973,0.859,0.912453056768559,0.789,0.973,0.789,N/A,0.8655161998298178,N/A,N/A,0.9870850098711562,0.7924351906191448,N/A,32531803,40.24,32531803,56.78,17.61,0.9908976486724373,0.811467354713321
